AppointmentID,ClinicID,PetID,ClientID,VeterinarianID,AppointmentDate,AppointmentTime,AppointmentType,BookingChannel,AppointmentStatus,ScheduledMinutes,ActualMinutes,WaitTimeMinutes,PrimaryDiagnosis,NewPatientVisit,FollowUpRecommended,SatisfactionScore
A0009680,CL001,P010270,C006824,EMP0015,2025-03-12,11:45,Dental,Online,Cancelled,120,,,,No,No,
A0009681,CL001,P012450,C008269,EMP0008,2024-10-04,08:00,Sick Visit,In Person,Completed,30,36,4,Urinary Tract Disease,No,No,
A0009682,CL011,P009432,C006274,EMP0266,2025-11-26,17:30,Wellness,Mobile App,Completed,30,26,14,Lameness/Arthritis,No,No,4
A0009683,CL005,P009357,C006226,EMP0123,2024-12-11,13:00,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0009684,CL004,P003962,C002624,EMP0091,2025-03-12,08:45,Specialty Consult,Online,Cancelled,60,,,,No,No,
A0009685,CL011,P011597,C007704,EMP0263,2025-05-08,13:30,Wellness,Mobile App,Completed,30,24,18,Heart Disease,No,No,5
A0009686,CL003,P003756,C002480,EMP0070,2024-04-14,14:30,Wellness,Online,No Show,30,,,,No,No,
A0009687,CL002,P003889,C002571,EMP0041,2025-12-02,11:45,Sick Visit,Phone,Completed,30,30,6,Otitis Externa,No,No,4
A0009688,CL010,P010622,C007049,EMP0230,2024-12-04,17:45,Wellness,Mobile App,Completed,30,28,13,Other,No,No,5
A0009689,CL009,P010964,C007285,EMP0198,2025-09-02,15:00,Vaccination,In Person,Cancelled,20,,,,No,No,
A0009690,CL006,P008915,C005929,EMP0149,2024-08-27,14:30,Sick Visit,In Person,Completed,30,29,15,Dermatitis/Allergy,No,Yes,5
A0009691,CL010,P012032,C007993,EMP0227,2024-09-07,13:45,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0009692,CL007,P005873,C003937,EMP0157,2025-12-30,17:45,Vaccination,In Person,No Show,20,,,,No,No,
A0009693,CL012,P007031,C004702,EMP0291,2024-05-16,10:30,Surgery,Phone,No Show,150,,,,No,No,
A0009694,CL012,P008540,C005695,EMP0281,2024-04-09,14:30,Vaccination,Phone,No Show,20,,,,No,No,
A0009695,CL002,P008198,C005470,EMP0031,2025-11-10,15:45,Dental,In Person,Completed,120,104,11,Routine/Healthy,No,Yes,3
A0009696,CL009,P005068,C003386,EMP0218,2025-12-11,14:15,Sick Visit,Online,Completed,30,37,17,Lameness/Arthritis,No,No,
A0009697,CL005,P002167,C001445,EMP0126,2024-06-25,10:45,Emergency,Mobile App,Completed,60,66,11,Dermatitis/Allergy,No,Yes,5
A0009698,CL012,P010809,C007176,EMP0286,2024-11-21,08:45,Sick Visit,Phone,Completed,30,41,24,Routine/Healthy,No,No,4
A0009699,CL003,P009330,C006206,EMP0075,2024-05-27,11:00,Sick Visit,Phone,Cancelled,30,,,,No,No,
A0009700,CL005,P009381,C006239,EMP0115,2025-06-16,09:30,Emergency,Phone,Completed,60,63,36,Heart Disease,No,No,4
A0009701,CL011,P003832,C002533,EMP0256,2025-06-13,09:00,Wellness,Phone,Completed,30,34,21,Heart Disease,No,No,5
A0009702,CL010,P007036,C004705,EMP0226,2024-02-13,16:30,Dental,Phone,Cancelled,120,,,,No,No,
A0009703,CL008,P001351,C000902,EMP0190,2025-03-09,13:15,Emergency,Online,Completed,60,63,27,Lameness/Arthritis,No,Yes,5
A0009704,CL001,P000861,C000587,EMP0008,2024-03-28,16:30,Specialty Consult,Phone,Completed,60,70,0,Gastrointestinal Upset,Yes,Yes,4
A0009705,CL011,P009574,C006365,EMP0247,2024-03-06,12:00,Dental,Mobile App,Completed,120,112,13,Urinary Tract Disease,No,Yes,3
A0009706,CL005,P000393,C000272,EMP0111,2024-04-01,08:15,Sick Visit,Mobile App,Completed,30,19,2,Otitis Externa,No,No,
A0009707,CL004,P010558,C007003,EMP0078,2024-03-22,15:15,Emergency,In Person,Completed,60,66,38,Heart Disease,No,No,5
A0009708,CL004,P010039,C006677,EMP0092,2025-02-27,09:30,Emergency,In Person,Cancelled,60,,,,No,No,
A0009709,CL005,P001719,C001141,EMP0122,2025-04-26,16:30,Wellness,Phone,Completed,30,29,8,Dental Disease,No,No,4
A0009710,CL012,P010033,C006673,EMP0291,2024-09-28,15:15,Vaccination,Online,Cancelled,20,,,,No,No,
A0009711,CL003,P003460,C002296,EMP0057,2024-10-25,12:15,Emergency,Mobile App,No Show,60,,,,No,No,
A0009712,CL002,P003559,C002360,EMP0035,2025-05-09,13:00,Sick Visit,In Person,Completed,30,31,28,Otitis Externa,No,No,
A0009713,CL008,P005992,C004017,EMP0191,2025-11-27,12:30,Follow-up,Mobile App,Completed,20,17,8,Dermatitis/Allergy,No,No,
A0009714,CL012,P004165,C002764,EMP0293,2024-05-31,10:15,Dental,In Person,No Show,120,,,,No,No,
A0009715,CL007,P012201,C008101,EMP0174,2024-08-21,09:15,Sick Visit,Mobile App,Completed,30,25,19,Trauma,No,No,4
A0009716,CL009,P005777,C003877,EMP0205,2024-07-25,14:30,Wellness,Mobile App,Completed,30,26,39,Otitis Externa,No,No,
A0009717,CL008,P002797,C001863,EMP0191,2025-01-09,14:15,Sick Visit,In Person,No Show,30,,,,No,No,
A0009718,CL012,P010029,C006670,EMP0281,2024-11-05,09:00,Sick Visit,In Person,Completed,30,34,5,Heart Disease,No,No,3
A0009719,CL004,P002776,C001847,EMP0097,2025-05-15,09:30,Vaccination,Phone,Completed,20,26,6,Other,No,No,4
A0009720,CL004,P000932,C000636,EMP0078,2024-11-05,10:15,Wellness,In Person,Completed,30,25,7,Upper Respiratory Infection,Yes,No,4
A0009721,CL012,P002780,C001850,EMP0286,2025-04-29,17:00,Surgery,In Person,Completed,150,160,4,Dental Disease,No,No,5
A0009722,CL002,P007752,C005161,EMP0031,2025-07-31,18:30,Vaccination,Phone,Completed,20,20,15,Other,No,No,4
A0009723,CL007,P011114,C007395,EMP0157,2025-10-02,13:30,Sick Visit,Mobile App,Completed,30,28,9,Routine/Healthy,No,No,5
A0009724,CL009,P000293,C000205,EMP0203,2024-01-21,09:00,Emergency,Phone,Cancelled,60,,,,No,No,
A0009725,CL007,P003918,C002592,EMP0170,2025-12-29,16:15,Sick Visit,Online,Completed,30,33,10,Dental Disease,No,Yes,5
A0009726,CL002,P012086,C008027,EMP0045,2024-05-01,16:15,Vaccination,In Person,Completed,20,22,14,Dental Disease,Yes,Yes,
A0009727,CL003,P007455,C004977,EMP0062,2024-07-12,09:30,Dental,Mobile App,Completed,120,129,12,Trauma,No,No,
A0009728,CL010,P006681,C004471,EMP0238,2025-11-18,10:15,Wellness,Online,Completed,30,25,9,Mass/Neoplasia,No,No,5
A0009729,CL012,P002581,C001710,EMP0300,2025-04-12,13:45,Sick Visit,In Person,Completed,30,14,7,Routine/Healthy,No,No,5
A0009730,CL008,P009883,C006571,EMP0186,2024-07-26,09:30,Emergency,Mobile App,Completed,60,57,22,Routine/Healthy,No,No,2
A0009731,CL011,P009476,C006302,EMP0251,2025-04-11,13:15,Dental,Mobile App,Completed,120,84,17,Dental Disease,No,No,5
A0009732,CL008,P011796,C007839,EMP0194,2024-12-07,15:00,Surgery,In Person,No Show,150,,,,No,No,
A0009733,CL008,P005129,C003426,EMP0193,2024-10-01,15:30,Emergency,Mobile App,Completed,60,74,11,Upper Respiratory Infection,No,No,5
A0009734,CL006,P006043,C004051,EMP0150,2024-09-05,15:45,Sick Visit,Mobile App,Completed,30,27,12,Lameness/Arthritis,No,No,5
A0009735,CL011,P000641,C000432,EMP0266,2025-05-09,17:30,Sick Visit,In Person,Cancelled,30,,,,No,No,
A0009736,CL010,P000525,C000361,EMP0235,2024-11-06,14:15,Follow-up,Phone,Cancelled,20,,,,No,No,
A0009737,CL007,P011402,C007582,EMP0174,2024-12-06,13:45,Surgery,Mobile App,Completed,150,220,21,Urinary Tract Disease,No,No,5
A0009738,CL010,P007141,C004779,EMP0226,2025-05-31,12:45,Follow-up,In Person,Completed,20,23,13,Routine/Healthy,No,Yes,
A0009739,CL007,P001034,C000701,EMP0164,2024-11-20,11:00,Emergency,Phone,Completed,60,63,46,Gastrointestinal Upset,No,Yes,4
A0009740,CL003,P008479,C005658,EMP0075,2025-07-22,15:45,Sick Visit,Online,Completed,30,27,15,Urinary Tract Disease,Yes,Yes,4
A0009741,CL011,P001289,C000861,EMP0254,2025-06-18,09:15,Follow-up,Phone,Cancelled,20,,,,Yes,No,
A0009742,CL007,P002759,C001833,EMP0170,2025-06-16,16:30,Sick Visit,Online,Completed,30,39,0,Dental Disease,No,No,5
A0009743,CL011,P006232,C004184,EMP0254,2024-08-13,15:30,Wellness,Online,Completed,30,10,32,Dental Disease,No,Yes,
A0009744,CL011,P006915,C004630,EMP0250,2025-09-01,09:15,Sick Visit,Online,Cancelled,30,,,,No,No,
A0009745,CL002,P007171,C004797,EMP0045,2024-03-25,12:30,Sick Visit,Mobile App,Completed,30,33,37,Gastrointestinal Upset,No,No,
A0009746,CL008,P006865,C004597,EMP0195,2025-02-06,13:00,Follow-up,Online,Completed,20,13,17,Other,No,No,2
A0009747,CL010,P000719,C000486,EMP0226,2024-12-26,11:30,Emergency,Mobile App,Completed,60,52,44,Dental Disease,No,Yes,5
A0009748,CL010,P003425,C002271,EMP0227,2025-04-01,15:15,Sick Visit,Online,Completed,30,37,0,Routine/Healthy,No,No,
A0009749,CL012,P012698,C008437,EMP0281,2025-11-04,11:45,Wellness,In Person,Cancelled,30,,,,No,No,
A0009750,CL012,P005505,C003694,EMP0277,2024-06-18,15:45,Wellness,Online,Completed,30,16,20,Trauma,No,No,5
A0009751,CL011,P012081,C008024,EMP0264,2025-08-06,17:30,Follow-up,Mobile App,Completed,20,10,0,Otitis Externa,No,No,5
A0009752,CL005,P012130,C008050,EMP0113,2025-05-30,13:30,Sick Visit,In Person,Completed,30,28,11,Dermatitis/Allergy,No,No,4
A0009753,CL010,P003579,C002374,EMP0236,2025-04-04,17:30,Specialty Consult,In Person,No Show,60,,,,Yes,No,
A0009754,CL002,P008150,C005435,EMP0035,2025-05-29,12:30,Sick Visit,Phone,Completed,30,19,9,Lameness/Arthritis,No,No,5
A0009755,CL008,P010858,C007205,EMP0193,2024-12-31,14:30,Specialty Consult,Mobile App,Completed,60,67,13,Routine/Healthy,No,No,5
A0009756,CL005,P012620,C008390,EMP0123,2025-12-20,10:45,Wellness,In Person,Completed,30,20,0,Upper Respiratory Infection,No,Yes,3
A0009757,CL012,P010069,C006696,EMP0291,2025-01-05,14:30,Wellness,In Person,Completed,30,11,0,Otitis Externa,No,No,4
A0009758,CL006,P009869,C006561,EMP0150,2025-05-13,17:30,Sick Visit,Mobile App,Completed,30,28,22,Lameness/Arthritis,No,No,5
A0009759,CL005,P009407,C006256,EMP0122,2024-10-25,12:30,Wellness,Mobile App,Completed,30,34,16,Upper Respiratory Infection,No,No,3
A0009760,CL001,P010265,C006820,EMP0026,2024-02-03,10:00,Surgery,In Person,Completed,150,128,1,Trauma,Yes,No,5
A0009761,CL005,P001250,C000836,EMP0123,2024-10-01,16:00,Specialty Consult,Online,Completed,60,49,7,Gastrointestinal Upset,No,No,5
A0009762,CL009,P007191,C004809,EMP0209,2024-09-27,15:00,Wellness,Mobile App,Completed,30,18,0,Routine/Healthy,Yes,No,5
A0009763,CL011,P003115,C002068,EMP0250,2025-10-31,10:15,Specialty Consult,In Person,Cancelled,60,,,,No,No,
A0009764,CL006,P010843,C007197,EMP0144,2025-01-16,10:45,Emergency,Mobile App,No Show,60,,,,No,No,
A0009765,CL002,P012755,C008473,EMP0033,2024-09-27,17:45,Emergency,In Person,Cancelled,60,,,,No,No,
A0009766,CL007,P004959,C003308,EMP0160,2024-01-16,08:30,Sick Visit,Phone,Completed,30,25,24,Urinary Tract Disease,No,Yes,5
A0009767,CL007,P009288,C006174,EMP0157,2025-09-20,09:30,Emergency,Mobile App,Completed,60,88,37,Upper Respiratory Infection,No,Yes,5
A0009768,CL003,P000560,C000385,EMP0062,2025-03-10,14:00,Sick Visit,Online,Cancelled,30,,,,No,No,
A0009769,CL004,P001760,C001171,EMP0082,2024-05-17,10:45,Emergency,Online,Completed,60,32,22,Kidney Disease,No,No,5
A0009770,CL012,P010804,C007173,EMP0285,2024-01-25,10:15,Vaccination,Online,Completed,20,18,0,Otitis Externa,Yes,Yes,5
A0009771,CL007,P009778,C006502,EMP0163,2025-08-21,11:30,Follow-up,Phone,Completed,20,16,7,Heart Disease,No,No,5
A0009772,CL012,P001702,C001133,EMP0281,2025-03-19,08:30,Specialty Consult,In Person,Completed,60,44,1,Trauma,No,No,5
A0009773,CL008,P007543,C005033,EMP0191,2025-03-08,08:15,Emergency,Mobile App,Completed,60,56,39,Routine/Healthy,No,No,3
A0009774,CL006,P006057,C004058,EMP0149,2024-10-03,11:15,Surgery,Mobile App,Cancelled,150,,,,No,No,
A0009775,CL004,P012062,C008012,EMP0085,2025-01-08,13:15,Emergency,Phone,Completed,60,38,18,Upper Respiratory Infection,No,No,4
A0009776,CL001,P010611,C007044,EMP0014,2024-07-13,16:45,Sick Visit,In Person,Completed,30,35,14,Gastrointestinal Upset,No,No,4
A0009777,CL002,P009201,C006114,EMP0033,2024-06-03,16:45,Vaccination,Phone,Completed,20,25,32,Gastrointestinal Upset,No,No,
A0009778,CL007,P009736,C006474,EMP0162,2025-10-07,18:30,Specialty Consult,In Person,Completed,60,25,0,Mass/Neoplasia,No,No,3
A0009779,CL007,P005224,C003488,EMP0164,2025-10-10,09:15,Dental,In Person,Completed,120,96,33,Diabetes,No,Yes,5
A0009780,CL005,P002246,C001503,EMP0107,2025-09-08,10:30,Sick Visit,In Person,No Show,30,,,,No,No,
A0009781,CL011,P008783,C005842,EMP0254,2024-08-08,16:30,Dental,In Person,Completed,120,82,8,Routine/Healthy,No,No,
A0009782,CL004,P011715,C007787,EMP0091,2024-05-23,09:45,Wellness,Online,Cancelled,30,,,,No,No,
A0009783,CL006,P011554,C007678,EMP0146,2025-04-09,13:30,Sick Visit,Online,Completed,30,28,22,Dermatitis/Allergy,No,No,5
A0009784,CL008,P001687,C001123,EMP0181,2025-09-05,11:30,Dental,Phone,Completed,120,127,0,Dermatitis/Allergy,No,No,5
A0009785,CL006,P008755,C005826,EMP0134,2025-02-05,10:00,Sick Visit,Online,No Show,30,,,,No,No,
A0009786,CL003,P008320,C005553,EMP0075,2024-03-11,12:30,Follow-up,Mobile App,Completed,20,25,24,Mass/Neoplasia,No,No,3
A0009787,CL004,P003772,C002493,EMP0089,2025-04-10,16:15,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0009788,CL001,P008453,C005644,EMP0008,2025-02-21,14:30,Wellness,In Person,No Show,30,,,,No,No,
A0009789,CL009,P003133,C002080,EMP0210,2025-11-07,16:30,Dental,Online,Completed,120,146,11,Routine/Healthy,No,Yes,4
A0009790,CL007,P003361,C002230,EMP0170,2024-11-08,10:45,Sick Visit,In Person,Completed,30,32,14,Routine/Healthy,Yes,No,4
A0009791,CL002,P001157,C000775,EMP0041,2025-11-08,16:15,Sick Visit,Phone,Completed,30,32,32,Dermatitis/Allergy,No,No,5
A0009792,CL004,P008675,C005774,EMP0089,2024-08-15,10:30,Surgery,Online,Completed,150,155,15,Trauma,No,Yes,1
A0009793,CL004,P007227,C004832,EMP0099,2025-05-27,13:30,Sick Visit,Phone,Completed,30,28,1,Kidney Disease,No,No,5
A0009794,CL010,P008418,C005622,EMP0229,2025-12-04,15:30,Dental,Phone,Cancelled,120,,,,No,No,
A0009795,CL012,P010117,C006727,EMP0291,2025-01-22,13:15,Wellness,Online,Completed,30,14,4,Mass/Neoplasia,Yes,Yes,4
A0009796,CL004,P006583,C004406,EMP0082,2025-02-11,11:45,Wellness,Online,Completed,30,33,33,Routine/Healthy,No,No,4
A0009797,CL005,P004952,C003303,EMP0115,2024-01-04,12:15,Wellness,Phone,Completed,30,26,3,Other,No,No,4
A0009798,CL007,P003289,C002180,EMP0164,2024-01-09,18:15,Follow-up,Online,Completed,20,19,3,Otitis Externa,No,Yes,5
A0009799,CL004,P007763,C005169,EMP0089,2024-05-20,12:00,Surgery,Online,Completed,150,144,10,Routine/Healthy,No,Yes,5
A0009800,CL011,P012269,C008148,EMP0266,2025-01-11,16:45,Emergency,Phone,Cancelled,60,,,,No,No,
A0009801,CL010,P006835,C004575,EMP0236,2024-07-05,11:30,Vaccination,Mobile App,No Show,20,,,,No,No,
A0009802,CL011,P004134,C002745,EMP0255,2024-06-13,12:15,Vaccination,Online,No Show,20,,,,No,No,
A0009803,CL003,P012761,C008477,EMP0075,2024-03-08,13:15,Surgery,Online,Completed,150,90,1,Kidney Disease,No,No,5
A0009804,CL011,P004377,C002915,EMP0256,2025-12-19,10:30,Sick Visit,Mobile App,Completed,30,47,0,Routine/Healthy,No,No,4
A0009805,CL008,P005393,C003610,EMP0186,2024-06-04,09:00,Dental,Online,Completed,120,142,26,Routine/Healthy,No,Yes,5
A0009806,CL010,P000484,C000333,EMP0238,2024-03-18,10:45,Sick Visit,In Person,Completed,30,27,7,Dermatitis/Allergy,Yes,Yes,5
A0009807,CL001,P010272,C006824,EMP0007,2025-07-20,12:00,Emergency,Online,Completed,60,68,26,Routine/Healthy,No,Yes,
A0009808,CL001,P007087,C004740,EMP0010,2025-02-28,13:15,Follow-up,Online,No Show,20,,,,No,No,
A0009809,CL004,P007227,C004832,EMP0078,2025-09-12,10:15,Wellness,Mobile App,Completed,30,29,6,Upper Respiratory Infection,No,No,5
A0009810,CL003,P001341,C000896,EMP0060,2025-12-30,11:15,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0009811,CL005,P010525,C006987,EMP0126,2024-09-28,09:45,Sick Visit,Phone,Completed,30,39,24,Lameness/Arthritis,Yes,No,5
A0009812,CL001,P008473,C005656,EMP0026,2025-01-08,14:15,Wellness,Mobile App,Completed,30,18,6,Upper Respiratory Infection,No,Yes,5
A0009813,CL004,P005820,C003900,EMP0078,2025-06-20,15:30,Sick Visit,Phone,Cancelled,30,,,,No,No,
A0009814,CL001,P009671,C006427,EMP0019,2024-08-13,18:15,Sick Visit,Phone,Completed,30,26,3,Lameness/Arthritis,No,No,
A0009815,CL008,P004576,C003041,EMP0175,2025-06-21,12:15,Wellness,Phone,Cancelled,30,,,,No,No,
A0009816,CL005,P005093,C003403,EMP0123,2025-06-01,15:30,Sick Visit,Mobile App,Completed,30,44,0,Routine/Healthy,No,No,5
A0009817,CL012,P002646,C001751,EMP0300,2024-01-30,10:00,Emergency,Phone,Completed,60,47,15,Dermatitis/Allergy,No,No,5
A0009818,CL007,P000119,C000081,EMP0174,2024-03-29,15:15,Sick Visit,Online,Completed,30,32,23,Routine/Healthy,No,No,5
A0009819,CL008,P008912,C005926,EMP0191,2024-03-05,16:00,Emergency,Online,Cancelled,60,,,,No,No,
A0009820,CL003,P002128,C001421,EMP0065,2025-11-10,11:30,Sick Visit,Mobile App,Cancelled,30,,,,No,No,
A0009821,CL008,P005619,C003774,EMP0186,2025-01-06,17:45,Follow-up,In Person,Completed,20,22,9,Upper Respiratory Infection,No,No,5
A0009822,CL004,P004821,C003212,EMP0091,2024-05-27,08:45,Sick Visit,Mobile App,Completed,30,38,16,Dermatitis/Allergy,No,No,5
A0009823,CL007,P012725,C008455,EMP0157,2025-11-03,10:45,Wellness,Mobile App,Completed,30,20,8,Routine/Healthy,No,No,5
A0009824,CL012,P008336,C005564,EMP0285,2024-04-29,18:45,Surgery,Phone,Cancelled,150,,,,No,No,
A0009825,CL006,P006458,C004324,EMP0134,2025-10-17,09:45,Wellness,Mobile App,Completed,30,10,23,Gastrointestinal Upset,No,Yes,4
A0009826,CL004,P005469,C003667,EMP0080,2024-04-06,14:15,Vaccination,Mobile App,No Show,20,,,,No,No,
A0009827,CL009,P008064,C005380,EMP0210,2024-09-15,16:00,Sick Visit,Phone,Completed,30,32,6,Lameness/Arthritis,No,No,5
A0009828,CL009,P003022,C002010,EMP0201,2024-03-03,08:30,Wellness,In Person,Cancelled,30,,,,No,No,
A0009829,CL003,P003779,C002499,EMP0072,2024-11-23,14:45,Wellness,In Person,Completed,30,32,19,Dermatitis/Allergy,No,No,3
A0009830,CL002,P003681,C002438,EMP0037,2025-07-07,12:45,Follow-up,Mobile App,Completed,20,17,24,Dermatitis/Allergy,No,Yes,5
A0009831,CL012,P007535,C005029,EMP0289,2024-02-13,14:15,Emergency,Online,Completed,60,54,24,Dermatitis/Allergy,No,Yes,5
A0009832,CL012,P009691,C006444,EMP0293,2024-05-10,12:00,Specialty Consult,Online,Completed,60,57,0,Dermatitis/Allergy,No,No,5
A0009833,CL001,P001019,C000690,EMP0015,2025-04-21,16:15,Sick Visit,Phone,Completed,30,26,0,Lameness/Arthritis,No,Yes,5
A0009834,CL003,P002874,C001912,EMP0070,2025-10-30,13:00,Vaccination,Online,Completed,20,25,6,Kidney Disease,No,No,4
A0009835,CL008,P009491,C006312,EMP0186,2024-05-28,10:00,Wellness,Phone,No Show,30,,,,No,No,
A0009836,CL003,P010711,C007108,EMP0068,2025-07-09,11:30,Dental,In Person,Cancelled,120,,,,No,No,
A0009837,CL008,P001363,C000913,EMP0182,2025-04-24,11:00,Dental,In Person,Completed,120,62,10,Heart Disease,No,Yes,
A0009838,CL010,P001666,C001110,EMP0227,2024-05-02,14:45,Emergency,Mobile App,Completed,60,75,41,Routine/Healthy,No,No,4
A0009839,CL001,P003924,C002595,EMP0021,2025-10-10,16:15,Wellness,In Person,Completed,30,26,22,Dental Disease,No,No,5
A0009840,CL012,P006857,C004591,EMP0283,2024-07-24,12:45,Sick Visit,Phone,Completed,30,28,23,Mass/Neoplasia,No,No,4
A0009841,CL008,P010677,C007085,EMP0191,2024-12-03,10:15,Wellness,Phone,Completed,30,14,10,Gastrointestinal Upset,No,No,5
A0009842,CL008,P001484,C000995,EMP0186,2025-02-17,09:30,Wellness,Mobile App,Completed,30,26,33,Gastrointestinal Upset,No,No,4
A0009843,CL003,P002163,C001443,EMP0054,2025-03-19,08:15,Follow-up,Online,Completed,20,23,0,Dental Disease,No,Yes,4
A0009844,CL012,P006271,C004209,EMP0293,2024-08-23,17:00,Wellness,Phone,Completed,30,26,0,Mass/Neoplasia,No,No,
A0009845,CL001,P005512,C003698,EMP0029,2024-12-14,11:15,Wellness,In Person,Completed,30,16,11,Otitis Externa,No,Yes,5
A0009846,CL012,P011159,C007423,EMP0289,2024-01-06,16:15,Specialty Consult,Online,Completed,60,68,5,Gastrointestinal Upset,Yes,No,5
A0009847,CL008,P011611,C007714,EMP0186,2025-11-05,16:30,Emergency,In Person,Cancelled,60,,,,No,No,
A0009848,CL001,P001110,C000746,EMP0029,2025-07-02,10:45,Wellness,Online,Completed,30,24,10,Otitis Externa,No,No,5
A0009849,CL006,P004356,C002904,EMP0149,2025-01-14,09:45,Specialty Consult,In Person,Cancelled,60,,,,No,No,
A0009850,CL007,P007444,C004968,EMP0165,2025-08-14,11:15,Vaccination,Online,Completed,20,21,26,Heart Disease,No,No,4
A0009851,CL001,P004871,C003245,EMP0026,2024-10-30,18:45,Sick Visit,Online,Completed,30,27,0,Gastrointestinal Upset,No,Yes,
A0009852,CL004,P001596,C001065,EMP0088,2025-06-28,10:45,Sick Visit,In Person,Completed,30,43,22,Otitis Externa,No,No,5
A0009853,CL001,P007138,C004777,EMP0021,2025-06-08,12:15,Dental,In Person,Completed,120,114,17,Dermatitis/Allergy,No,No,
A0009854,CL001,P011708,C007782,EMP0029,2025-08-22,08:00,Emergency,Phone,Completed,60,64,31,Dermatitis/Allergy,No,No,4
A0009855,CL004,P010294,C006837,EMP0080,2024-04-11,14:15,Emergency,Online,Cancelled,60,,,,No,No,
A0009856,CL012,P007002,C004685,EMP0289,2025-07-22,13:15,Specialty Consult,Online,Completed,60,50,2,Dermatitis/Allergy,No,Yes,4
A0009857,CL004,P007403,C004943,EMP0088,2025-04-08,08:45,Sick Visit,Online,Cancelled,30,,,,No,No,
A0009858,CL003,P007721,C005140,EMP0070,2025-08-29,16:15,Surgery,Online,Completed,150,209,6,Routine/Healthy,No,No,
A0009859,CL006,P003760,C002483,EMP0134,2025-12-10,09:15,Wellness,Mobile App,Completed,30,28,26,Urinary Tract Disease,No,Yes,5
A0009860,CL007,P008221,C005485,EMP0174,2024-05-08,17:15,Dental,In Person,No Show,120,,,,Yes,No,
A0009861,CL004,P011180,C007435,EMP0088,2025-12-02,15:15,Wellness,Phone,Completed,30,28,25,Upper Respiratory Infection,No,No,4
A0009862,CL004,P011515,C007653,EMP0078,2025-04-18,13:30,Emergency,Phone,Cancelled,60,,,,No,No,
A0009863,CL008,P012169,C008079,EMP0193,2025-04-10,11:45,Vaccination,In Person,No Show,20,,,,No,No,
A0009864,CL012,P012671,C008421,EMP0285,2024-07-17,15:45,Wellness,Mobile App,No Show,30,,,,No,No,
A0009865,CL005,P008495,C005667,EMP0117,2024-06-27,14:15,Follow-up,Mobile App,Completed,20,26,15,Mass/Neoplasia,No,No,4
A0009866,CL010,P005912,C003965,EMP0229,2025-01-25,17:15,Wellness,Online,Completed,30,36,27,Trauma,No,Yes,4
A0009867,CL010,P008575,C005716,EMP0223,2024-08-27,08:30,Vaccination,Mobile App,Completed,20,17,19,Routine/Healthy,No,Yes,5
A0009868,CL005,P009155,C006087,EMP0115,2024-10-12,15:45,Sick Visit,Online,Cancelled,30,,,,No,No,
A0009869,CL009,P003336,C002216,EMP0203,2025-02-24,18:45,Wellness,Phone,No Show,30,,,,No,No,
A0009870,CL002,P006020,C004037,EMP0034,2024-12-09,17:00,Wellness,In Person,No Show,30,,,,No,No,
A0009871,CL009,P005934,C003981,EMP0210,2025-07-30,10:00,Wellness,Mobile App,Cancelled,30,,,,No,No,
A0009872,CL010,P012032,C007993,EMP0226,2025-05-09,15:00,Sick Visit,In Person,Completed,30,32,13,Otitis Externa,No,No,4
A0009873,CL001,P000565,C000389,EMP0026,2025-01-30,13:30,Dental,Online,Completed,120,20,9,Routine/Healthy,No,Yes,5
A0009874,CL002,P004022,C002665,EMP0037,2024-06-24,14:00,Wellness,Phone,Completed,30,18,26,Upper Respiratory Infection,No,No,5
A0009875,CL012,P000361,C000247,EMP0300,2025-07-24,14:00,Wellness,Mobile App,Completed,30,13,15,Otitis Externa,No,Yes,5
A0009876,CL005,P000105,C000071,EMP0123,2025-05-20,12:00,Sick Visit,In Person,Completed,30,36,20,Dermatitis/Allergy,No,No,4
A0009877,CL005,P009899,C006584,EMP0107,2024-08-19,11:15,Surgery,Mobile App,Completed,150,91,9,Kidney Disease,No,Yes,5
A0009878,CL001,P003649,C002419,EMP0020,2024-01-06,10:30,Wellness,Phone,Completed,30,29,33,Lameness/Arthritis,No,No,5
A0009879,CL003,P010387,C006895,EMP0054,2025-01-07,14:45,Sick Visit,Mobile App,Completed,30,35,11,Otitis Externa,No,No,4
A0009880,CL007,P012509,C008309,EMP0157,2025-10-11,18:00,Specialty Consult,In Person,No Show,60,,,,No,No,
A0009881,CL007,P012371,C008213,EMP0170,2024-11-27,10:00,Wellness,In Person,Completed,30,24,20,Routine/Healthy,Yes,No,
A0009882,CL008,P004343,C002895,EMP0194,2025-03-31,12:00,Specialty Consult,Online,Completed,60,71,21,Routine/Healthy,No,Yes,5
A0009883,CL001,P005158,C003444,EMP0016,2025-11-27,10:15,Follow-up,In Person,Completed,20,18,0,Mass/Neoplasia,No,No,5
A0009884,CL006,P002828,C001883,EMP0134,2024-07-16,16:00,Dental,In Person,Completed,120,164,5,Dermatitis/Allergy,No,No,
A0009885,CL010,P002972,C001980,EMP0226,2025-12-29,13:30,Dental,Phone,Completed,120,115,25,Dental Disease,No,No,5
A0009886,CL008,P010548,C006998,EMP0194,2025-02-06,17:00,Emergency,In Person,Cancelled,60,,,,No,No,
